target,class_name,num_examples,recall,num_correct
228,Greater Scaup (Female/Eclipse male),30,0.03333333333333333,1
345,Chihuahuan Raven,27,0.1111111111111111,3
519,Dark-eyed Junco (White-winged),9,0.1111111111111111,1
343,Northwestern Crow,19,0.21052631578947367,4
351,Bank Swallow,27,0.2222222222222222,6
377,Pacific Wren,21,0.23809523809523808,5
208,Western Gull (Immature),26,0.3076923076923077,8
209,California Gull (Immature),25,0.32,8
344,Fish Crow,30,0.36666666666666664,11
71,Rufous Hummingbird (Adult Male),50,0.38,19
278,"Costa's Hummingbird (Female, immature)",21,0.38095238095238093,8
187,Vaux's Swift,28,0.39285714285714285,11
96,Cackling Goose,14,0.42857142857142855,6
236,Barrow's Goldeneye (Female/Eclipse male),25,0.44,11
251,Great Cormorant (Immature),24,0.4583333333333333,11
262,Broad-winged Hawk (Immature),29,0.4827586206896552,14
230,Harlequin Duck (Female/juvenile),22,0.5,11
75,Black Guillemot (Breeding),20,0.5,10
221,Cinnamon Teal (Female/juvenile),20,0.5,10
550,Fox Sparrow (Thick-billed/Slate-colored),16,0.5,8
535,Hooded Oriole (Female/Immature male),35,0.5142857142857142,18
280,"Broad-tailed Hummingbird (Female, immature)",29,0.5172413793103449,15
465,Hoary Redpoll,29,0.5172413793103449,15
100,Tundra Swan,28,0.5357142857142857,15
282,"Allen's Hummingbird (Female, immature)",41,0.5365853658536586,22
414,Mourning Warbler,52,0.5384615384615384,28
288,Swainson's Hawk (Immature),24,0.5416666666666666,13
267,Purple Gallinule (Immature),11,0.5454545454545454,6
356,Black-capped Chickadee,60,0.55,33
487,Cassin's Vireo,36,0.5555555555555556,20
18,Greater Scaup (Breeding male),43,0.5581395348837209,24
501,American Crow,57,0.5614035087719298,32
3,Swainson's Hawk (Dark morph ),30,0.5666666666666667,17
264,Golden Eagle (Immature),30,0.5666666666666667,17
470,Pacific-slope Flycatcher,59,0.576271186440678,34
274,"Broad-billed Hummingbird (Female, immature)",22,0.5909090909090909,13
381,Black-tailed Gnatcatcher,22,0.5909090909090909,13
467,Western Wood-Pewee,49,0.5918367346938775,29
486,Plumbeous Vireo,41,0.6097560975609756,25
177,Western Screech-Owl,34,0.6176470588235294,21
259,Sharp-shinned Hawk (Immature),58,0.6206896551724138,36
41,Great Cormorant (Adult),40,0.625,25
522,Western Tanager (Female/Nonbreeding Male),33,0.6363636363636364,21
211,Glaucous-winged Gull (Immature),22,0.6363636363636364,14
542,Red Crossbill (Female/juvenile),34,0.6470588235294118,22
281,"Rufous Hummingbird (Female, immature)",37,0.6486486486486487,24
279,"Calliope Hummingbird (Female, immature)",48,0.6666666666666666,32
137,Red-tailed Hawk (Dark morph),30,0.6666666666666666,20
540,Cassin's Finch (Female/immature),24,0.6666666666666666,16
33,Red-throated Loon (Breeding),12,0.6666666666666666,8
276,"Black-chinned Hummingbird (Female, immature)",59,0.6779661016949152,40
178,Eastern Screech-Owl,50,0.68,34
457,Boat-tailed Grackle,60,0.6833333333333333,41
61,Sanderling (Breeding),19,0.6842105263157895,13
217,Gadwall (Female/Eclipse male),19,0.6842105263157895,13
160,Western Sandpiper,51,0.6862745098039216,35
510,"Bay-breasted Warbler (Female, Nonbreeding male, Immature)",29,0.6896551724137931,20
249,Northern Gannet (Immature/Juvenile),20,0.7,14
195,Red-naped Sapsucker,54,0.7037037037037037,38
