target,target_name,pred_target,pred_name,count
71,Rufous Hummingbird (Adult Male),72,Allen's Hummingbird (Adult Male),28
356,Black-capped Chickadee,355,Carolina Chickadee,26
228,Greater Scaup (Female/Eclipse male),229,Lesser Scaup (Female/Eclipse male),25
259,Sharp-shinned Hawk (Immature),260,Cooper's Hawk (Immature),19
345,Chihuahuan Raven,346,Common Raven,19
282,"Allen's Hummingbird (Female, immature)",281,"Rufous Hummingbird (Female, immature)",17
18,Greater Scaup (Breeding male),19,Lesser Scaup (Breeding male),17
377,Pacific Wren,378,Winter Wren,16
195,Red-naped Sapsucker,194,Yellow-bellied Sapsucker,16
502,Yellow-rumped Warbler (Breeding Audubon's),553,Yellow-rumped Warbler (Winter/juvenile Audubon's),16
187,Vaux's Swift,186,Chimney Swift,16
470,Pacific-slope Flycatcher,471,Cordilleran Flycatcher,16
351,Bank Swallow,350,Northern Rough-winged Swallow,16
200,Hairy Woodpecker,199,Downy Woodpecker,15
344,Fish Crow,501,American Crow,15
467,Western Wood-Pewee,468,Eastern Wood-Pewee,15
90,Common Tern,91,Forster's Tern,15
178,Eastern Screech-Owl,177,Western Screech-Owl,15
535,Hooded Oriole (Female/Immature male),552,Orchard Oriole (Female/Juvenile),14
501,American Crow,344,Fish Crow,14
487,Cassin's Vireo,488,Blue-headed Vireo,13
160,Western Sandpiper,159,Semipalmated Sandpiper,13
465,Hoary Redpoll,464,Common Redpoll,12
177,Western Screech-Owl,178,Eastern Screech-Owl,12
515,White-throated Sparrow (Tan-striped/immature),308,White-throated Sparrow (White-striped),12
100,Tundra Swan,99,Trumpeter Swan,12
264,Golden Eagle (Immature),54,Golden Eagle (Adult),10
343,Northwestern Crow,501,American Crow,10
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),502,Yellow-rumped Warbler (Breeding Audubon's),10
414,Mourning Warbler,413,MacGillivray's Warbler,10
205,Laughing Gull (Nonbreeding/Immature),78,Laughing Gull (Breeding),9
457,Boat-tailed Grackle,458,Great-tailed Grackle,9
468,Eastern Wood-Pewee,467,Western Wood-Pewee,9
49,Sharp-shinned Hawk (Adult ),50,Cooper's Hawk (Adult),9
275,"Ruby-throated Hummingbird (Female, immature)",276,"Black-chinned Hummingbird (Female, immature)",9
236,Barrow's Goldeneye (Female/Eclipse male),235,Common Goldeneye (Female/Eclipse male),9
280,"Broad-tailed Hummingbird (Female, immature)",279,"Calliope Hummingbird (Female, immature)",9
455,Rusty Blackbird,533,Brewer's Blackbird (Male),8
486,Plumbeous Vireo,487,Cassin's Vireo,8
75,Black Guillemot (Breeding),76,Pigeon Guillemot (Breeding),8
277,"Anna's Hummingbird (Female, immature)",276,"Black-chinned Hummingbird (Female, immature)",8
251,Great Cormorant (Immature),40,Double-crested Cormorant (Immature),8
115,Neotropic Cormorant,40,Double-crested Cormorant (Immature),8
186,Chimney Swift,187,Vaux's Swift,8
72,Allen's Hummingbird (Adult Male),71,Rufous Hummingbird (Adult Male),8
208,Western Gull (Immature),211,Glaucous-winged Gull (Immature),7
96,Cackling Goose,97,Canada Goose,7
150,Greater Yellowlegs,152,Lesser Yellowlegs,7
292,European Starling (Breeding Adult),400,European Starling (Nonbreeding Adult),7
381,Black-tailed Gnatcatcher,380,Blue-gray Gnatcatcher,7
