image_id,rel_path,target,class_name,pred_target,pred_class_name,top5_targets
0000139e-21dc-4d0c-bfe1-4cae3c85c829,0817/0000139e21dc4d0cbfe14cae3c85c829.jpg,361,Oak Titmouse,465,Hoary Redpoll,465|389|361|385|360
0007acfc-c0e6-4393-9ab6-02215a82ef63,0400/0007acfcc0e643939ab602215a82ef63.jpg,83,Herring Gull (Adult),80,Ring-billed Gull (Adult),80|82|83|207|84
0021434d-727a-42be-921d-a187ec291ed2,0629/0021434d727a42be921da187ec291ed2.jpg,232,White-winged Scoter (Female/juvenile),234,Bufflehead (Female/immature male),234|285|232|230|27
0029cd78-55e8-42dc-9ec3-1fe1c3608aa1,0861/0029cd7855e842dc9ec31fe1c3608aa1.jpg,405,Louisiana Waterthrush,406,Northern Waterthrush,406|405|446|125|90
0029e7b0-aa46-4988-a9e8-10b54efc3d91,0656/0029e7b0aa464988a9e810b54efc3d91.jpg,259,Sharp-shinned Hawk (Immature),260,Cooper's Hawk (Immature),260|261|259|262|139
00378235-a328-4524-8ff3-41430238a387,0854/00378235a32845248ff341430238a387.jpg,398,Curve-billed Thrasher,477,Cassin's Kingbird,477|173|420|451|460
0039ce66-310a-4709-9456-fcf7c61c8b12,0927/0039ce66310a47099456fcf7c61c8b12.jpg,471,Cordilleran Flycatcher,473,Eastern Phoebe,473|468|467|476|174
00520c76-9d4a-4f98-bb8e-1d35db8a3b4e,0605/00520c769d4a4f98bb8e1d35db8a3b4e.jpg,208,Western Gull (Immature),211,Glaucous-winged Gull (Immature),211|208|209|210|87
00834a6f-9ae6-4c14-8042-1b38e95ca0d7,0636/00834a6f9ae64c1480421b38e95ca0d7.jpg,239,Red-breasted Merganser (Female/immature male),238,Common Merganser (Female/immature male),238|239|29|90|7
0096fc89-77e7-4682-beaf-946a75e43a56,0945/0096fc8977e74682beaf946a75e43a56.jpg,489,Hutton's Vireo,487,Cassin's Vireo,487|489|486|471|389
00b71433-d412-46a8-9d35-5eb0062133f7,0988/00b71433d41246a89d355eb0062133f7.jpg,532,Yellow-headed Blackbird (Female/Immature Male),325,Yellow-headed Blackbird (Adult Male),325|341|532|455|459
00b8538d-7ba9-47de-8f2c-0930fa560594,0880/00b8538d7ba947de8f2c0930fa560594.jpg,424,Black-throated Gray Warbler,360,Bridled Titmouse,360|487|198|199|424
