raw_class_id,target,class_name,class_family,prompt_id,prompt,total_images,official_train_images,official_test_images
295,0,Common Eider (Adult male),Common Eider,0,"a photo of a Common Eider (Adult male), a North American bird.",53,24,29
295,0,Common Eider (Adult male),Common Eider,1,a field guide photograph of a Common Eider (Adult male).,53,24,29
295,0,Common Eider (Adult male),Common Eider,2,a close-up bird photo showing the fine-grained field marks of a Common Eider (Adult male).,53,24,29
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,0,"a photo of a Long-tailed Duck (Winter male), a North American bird.",64,34,30
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,1,a field guide photograph of a Long-tailed Duck (Winter male).,64,34,30
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,2,a close-up bird photo showing the fine-grained field marks of a Long-tailed Duck (Winter male).,64,34,30
297,2,Ruddy Duck (Breeding male),Ruddy Duck,0,"a photo of a Ruddy Duck (Breeding male), a North American bird.",87,49,38
297,2,Ruddy Duck (Breeding male),Ruddy Duck,1,a field guide photograph of a Ruddy Duck (Breeding male).,87,49,38
297,2,Ruddy Duck (Breeding male),Ruddy Duck,2,a close-up bird photo showing the fine-grained field marks of a Ruddy Duck (Breeding male).,87,49,38
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,0,"a photo of a Swainson's Hawk (Dark morph ), a North American bird.",67,37,30
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,1,a field guide photograph of a Swainson's Hawk (Dark morph ).,67,37,30
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,2,a close-up bird photo showing the fine-grained field marks of a Swainson's Hawk (Dark morph ).,67,37,30
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,0,"a photo of a Red-tailed Hawk (Light morph adult), a North American bird.",120,60,60
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,1,a field guide photograph of a Red-tailed Hawk (Light morph adult).,120,60,60
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,2,a close-up bird photo showing the fine-grained field marks of a Red-tailed Hawk (Light morph adult).,120,60,60
313,5,Snow Goose (White morph),Snow Goose,0,"a photo of a Snow Goose (White morph), a North American bird.",47,21,26
313,5,Snow Goose (White morph),Snow Goose,1,a field guide photograph of a Snow Goose (White morph).,47,21,26
313,5,Snow Goose (White morph),Snow Goose,2,a close-up bird photo showing the fine-grained field marks of a Snow Goose (White morph).,47,21,26
314,6,Wood Duck (Breeding male),Wood Duck,0,"a photo of a Wood Duck (Breeding male), a North American bird.",120,60,60
314,6,Wood Duck (Breeding male),Wood Duck,1,a field guide photograph of a Wood Duck (Breeding male).,120,60,60
314,6,Wood Duck (Breeding male),Wood Duck,2,a close-up bird photo showing the fine-grained field marks of a Wood Duck (Breeding male).,120,60,60
315,7,Gadwall (Breeding male),Gadwall,0,"a photo of a Gadwall (Breeding male), a North American bird.",116,60,56
315,7,Gadwall (Breeding male),Gadwall,1,a field guide photograph of a Gadwall (Breeding male).,116,60,56
315,7,Gadwall (Breeding male),Gadwall,2,a close-up bird photo showing the fine-grained field marks of a Gadwall (Breeding male).,116,60,56
316,8,American Wigeon (Breeding male),American Wigeon,0,"a photo of a American Wigeon (Breeding male), a North American bird.",96,51,45
316,8,American Wigeon (Breeding male),American Wigeon,1,a field guide photograph of a American Wigeon (Breeding male).,96,51,45
316,8,American Wigeon (Breeding male),American Wigeon,2,a close-up bird photo showing the fine-grained field marks of a American Wigeon (Breeding male).,96,51,45
317,9,Mallard (Breeding male),Mallard,0,"a photo of a Mallard (Breeding male), a North American bird.",120,60,60
317,9,Mallard (Breeding male),Mallard,1,a field guide photograph of a Mallard (Breeding male).,120,60,60
317,9,Mallard (Breeding male),Mallard,2,a close-up bird photo showing the fine-grained field marks of a Mallard (Breeding male).,120,60,60
318,10,Blue-winged Teal  (Male),Blue-winged Teal,0,"a photo of a Blue-winged Teal  (Male), a North American bird.",83,41,42
318,10,Blue-winged Teal  (Male),Blue-winged Teal,1,a field guide photograph of a Blue-winged Teal  (Male).,83,41,42
318,10,Blue-winged Teal  (Male),Blue-winged Teal,2,a close-up bird photo showing the fine-grained field marks of a Blue-winged Teal  (Male).,83,41,42
319,11,Cinnamon Teal (Male),Cinnamon Teal,0,"a photo of a Cinnamon Teal (Male), a North American bird.",106,51,55
319,11,Cinnamon Teal (Male),Cinnamon Teal,1,a field guide photograph of a Cinnamon Teal (Male).,106,51,55
319,11,Cinnamon Teal (Male),Cinnamon Teal,2,a close-up bird photo showing the fine-grained field marks of a Cinnamon Teal (Male).,106,51,55
320,12,Northern Shoveler (Breeding male),Northern Shoveler,0,"a photo of a Northern Shoveler (Breeding male), a North American bird.",120,60,60
320,12,Northern Shoveler (Breeding male),Northern Shoveler,1,a field guide photograph of a Northern Shoveler (Breeding male).,120,60,60
320,12,Northern Shoveler (Breeding male),Northern Shoveler,2,a close-up bird photo showing the fine-grained field marks of a Northern Shoveler (Breeding male).,120,60,60
321,13,Northern Pintail (Breeding male),Northern Pintail,0,"a photo of a Northern Pintail (Breeding male), a North American bird.",87,45,42
321,13,Northern Pintail (Breeding male),Northern Pintail,1,a field guide photograph of a Northern Pintail (Breeding male).,87,45,42
321,13,Northern Pintail (Breeding male),Northern Pintail,2,a close-up bird photo showing the fine-grained field marks of a Northern Pintail (Breeding male).,87,45,42
322,14,Green-winged Teal (Male),Green-winged Teal,0,"a photo of a Green-winged Teal (Male), a North American bird.",97,56,41
322,14,Green-winged Teal (Male),Green-winged Teal,1,a field guide photograph of a Green-winged Teal (Male).,97,56,41
322,14,Green-winged Teal (Male),Green-winged Teal,2,a close-up bird photo showing the fine-grained field marks of a Green-winged Teal (Male).,97,56,41
323,15,Canvasback (Breeding male),Canvasback,0,"a photo of a Canvasback (Breeding male), a North American bird.",89,46,43
323,15,Canvasback (Breeding male),Canvasback,1,a field guide photograph of a Canvasback (Breeding male).,89,46,43
323,15,Canvasback (Breeding male),Canvasback,2,a close-up bird photo showing the fine-grained field marks of a Canvasback (Breeding male).,89,46,43
324,16,Redhead (Breeding male),Redhead,0,"a photo of a Redhead (Breeding male), a North American bird.",66,39,27
324,16,Redhead (Breeding male),Redhead,1,a field guide photograph of a Redhead (Breeding male).,66,39,27
324,16,Redhead (Breeding male),Redhead,2,a close-up bird photo showing the fine-grained field marks of a Redhead (Breeding male).,66,39,27
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,0,"a photo of a Ring-necked Duck (Breeding male), a North American bird.",82,38,44
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,1,a field guide photograph of a Ring-necked Duck (Breeding male).,82,38,44
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,2,a close-up bird photo showing the fine-grained field marks of a Ring-necked Duck (Breeding male).,82,38,44
326,18,Greater Scaup (Breeding male),Greater Scaup,0,"a photo of a Greater Scaup (Breeding male), a North American bird.",72,29,43
326,18,Greater Scaup (Breeding male),Greater Scaup,1,a field guide photograph of a Greater Scaup (Breeding male).,72,29,43
326,18,Greater Scaup (Breeding male),Greater Scaup,2,a close-up bird photo showing the fine-grained field marks of a Greater Scaup (Breeding male).,72,29,43
327,19,Lesser Scaup (Breeding male),Lesser Scaup,0,"a photo of a Lesser Scaup (Breeding male), a North American bird.",85,41,44
327,19,Lesser Scaup (Breeding male),Lesser Scaup,1,a field guide photograph of a Lesser Scaup (Breeding male).,85,41,44
327,19,Lesser Scaup (Breeding male),Lesser Scaup,2,a close-up bird photo showing the fine-grained field marks of a Lesser Scaup (Breeding male).,85,41,44
328,20,Harlequin Duck (Male),Harlequin Duck,0,"a photo of a Harlequin Duck (Male), a North American bird.",92,49,43
328,20,Harlequin Duck (Male),Harlequin Duck,1,a field guide photograph of a Harlequin Duck (Male).,92,49,43
328,20,Harlequin Duck (Male),Harlequin Duck,2,a close-up bird photo showing the fine-grained field marks of a Harlequin Duck (Male).,92,49,43
329,21,Surf Scoter (Male),Surf Scoter,0,"a photo of a Surf Scoter (Male), a North American bird.",70,33,37
329,21,Surf Scoter (Male),Surf Scoter,1,a field guide photograph of a Surf Scoter (Male).,70,33,37
329,21,Surf Scoter (Male),Surf Scoter,2,a close-up bird photo showing the fine-grained field marks of a Surf Scoter (Male).,70,33,37
330,22,White-winged Scoter (Male),White-winged Scoter,0,"a photo of a White-winged Scoter (Male), a North American bird.",44,17,27
330,22,White-winged Scoter (Male),White-winged Scoter,1,a field guide photograph of a White-winged Scoter (Male).,44,17,27
330,22,White-winged Scoter (Male),White-winged Scoter,2,a close-up bird photo showing the fine-grained field marks of a White-winged Scoter (Male).,44,17,27
331,23,Black Scoter (Male),Black Scoter,0,"a photo of a Black Scoter (Male), a North American bird.",41,22,19
331,23,Black Scoter (Male),Black Scoter,1,a field guide photograph of a Black Scoter (Male).,41,22,19
