target,class_name,num_examples,recall,num_correct
430,Yellow-breasted Chat,60,0.0,0
458,Great-tailed Grackle,60,0.0,0
291,Yellow-rumped Warbler (Breeding Myrtle),59,0.0,0
509,Magnolia Warbler (Female/immature male),45,0.0,0
434,Rufous-crowned Sparrow,41,0.0,0
528,Indigo Bunting (Female/juvenile),39,0.0,0
333,Cassin's Finch (Adult Male),38,0.0,0
385,Wrentit,37,0.0,0
426,Hermit Warbler,37,0.0,0
207,Ring-billed Gull (Immature),36,0.0,0
511,Chestnut-sided Warbler (Female/immature male),35,0.0,0
303,Bay-breasted Warbler (Breeding male),33,0.0,0
513,Black-throated Blue Warbler (Female/Immature male),32,0.0,0
543,White-winged Crossbill (Female/juvenile),32,0.0,0
471,Cordilleran Flycatcher,31,0.0,0
164,American Woodcock,30,0.0,0
225,Canvasback (Female/Eclipse male),29,0.0,0
484,Bell's Vireo,29,0.0,0
510,"Bay-breasted Warbler (Female, Nonbreeding male, Immature)",29,0.0,0
521,Scarlet Tanager (Female/Nonbreeding Male),28,0.0,0
52,Broad-winged Hawk (Adult),26,0.0,0
208,Western Gull (Immature),26,0.0,0
236,Barrow's Goldeneye (Female/Eclipse male),25,0.0,0
231,Surf Scoter (Female/immature),24,0.0,0
540,Cassin's Finch (Female/immature),24,0.0,0
87,Mew Gull,23,0.0,0
278,"Costa's Hummingbird (Female, immature)",21,0.0,0
34,Pacific Loon (Breeding),20,0.0,0
249,Northern Gannet (Immature/Juvenile),20,0.0,0
307,Lark Bunting (Breeding male),19,0.0,0
298,Phainopepla (Female/juvenile),18,0.0,0
226,Redhead (Female/Eclipse male),17,0.0,0
551,Summer Tanager (Immature Male),17,0.0,0
519,Dark-eyed Junco (White-winged),9,0.0,0
72,Allen's Hummingbird (Adult Male),60,0.016666666666666666,1
410,Tennessee Warbler,60,0.016666666666666666,1
439,Clay-colored Sparrow,60,0.016666666666666666,1
375,Bewick's Wren,58,0.017241379310344827,1
270,Spotted Sandpiper (Nonbreeding/juvenile),47,0.02127659574468085,1
210,Herring Gull (Immature),44,0.022727272727272728,1
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),44,0.022727272727272728,1
445,Fox Sparrow (Sooty),43,0.023255813953488372,1
196,Red-breasted Sapsucker,42,0.023809523809523808,1
41,Great Cormorant (Adult),40,0.025,1
112,Clark's Grebe,38,0.02631578947368421,1
252,Little Blue Heron (Immature),37,0.02702702702702703,1
461,Gray-crowned Rosy-Finch,37,0.02702702702702703,1
535,Hooded Oriole (Female/Immature male),35,0.02857142857142857,1
516,Harris's Sparrow (Immature),34,0.029411764705882353,1
360,Bridled Titmouse,31,0.03225806451612903,1
367,Red-breasted Nuthatch,60,0.03333333333333333,2
427,Black-throated Green Warbler,60,0.03333333333333333,2
517,White-crowned Sparrow (Immature),60,0.03333333333333333,2
518,Golden-crowned Sparrow (Immature),60,0.03333333333333333,2
508,American Redstart (Female/juvenile),59,0.03389830508474576,2
16,Redhead (Breeding male),27,0.037037037037037035,1
351,Bank Swallow,27,0.037037037037037035,1
342,Yellow-rumped Warbler (Winter/juvenile Myrtle),53,0.03773584905660377,2
277,"Anna's Hummingbird (Female, immature)",52,0.038461538461538464,2
497,Mexican Jay,26,0.038461538461538464,1
552,Orchard Oriole (Female/Juvenile),26,0.038461538461538464,1
460,Orchard Oriole (Immature Male),25,0.04,1
468,Eastern Wood-Pewee,49,0.04081632653061224,2
