raw_class_id,target,class_name,class_family,prompt_id,prompt,prompt_set,variant_label,descriptor_count,clean_descriptor_count,descriptor_quality
295,0,Common Eider (Adult male),Common Eider,0,Common Eider Adult male,class_name_only,Adult male,10,5,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,0,Long-tailed Duck Winter male,class_name_only,Winter male,15,4,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,0,Ruddy Duck Breeding male,class_name_only,Breeding male,11,5,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,0,Swainson's Hawk Dark morph,class_name_only,Dark morph,10,4,needs_normalization|shared_variant_descriptor
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,0,Red-tailed Hawk Light morph adult,class_name_only,Light morph adult,14,5,needs_normalization|shared_variant_descriptor
313,5,Snow Goose (White morph),Snow Goose,0,Snow Goose White morph,class_name_only,White morph,11,5,needs_normalization|shared_variant_descriptor
314,6,Wood Duck (Breeding male),Wood Duck,0,Wood Duck Breeding male,class_name_only,Breeding male,7,5,compact_verified
315,7,Gadwall (Breeding male),Gadwall,0,Gadwall Breeding male,class_name_only,Breeding male,6,3,needs_normalization|shared_variant_descriptor
316,8,American Wigeon (Breeding male),American Wigeon,0,American Wigeon Breeding male,class_name_only,Breeding male,11,5,needs_normalization|shared_variant_descriptor
317,9,Mallard (Breeding male),Mallard,0,Mallard Breeding male,class_name_only,Breeding male,10,4,needs_normalization|shared_variant_descriptor
318,10,Blue-winged Teal  (Male),Blue-winged Teal,0,Blue-winged Teal Male,class_name_only,Male,10,5,needs_normalization|shared_variant_descriptor
319,11,Cinnamon Teal (Male),Cinnamon Teal,0,Cinnamon Teal Male,class_name_only,Male,9,2,needs_normalization|shared_variant_descriptor
320,12,Northern Shoveler (Breeding male),Northern Shoveler,0,Northern Shoveler Breeding male,class_name_only,Breeding male,9,3,needs_normalization|shared_variant_descriptor
321,13,Northern Pintail (Breeding male),Northern Pintail,0,Northern Pintail Breeding male,class_name_only,Breeding male,5,3,needs_normalization|shared_variant_descriptor
322,14,Green-winged Teal (Male),Green-winged Teal,0,Green-winged Teal Male,class_name_only,Male,9,4,needs_normalization|shared_variant_descriptor
323,15,Canvasback (Breeding male),Canvasback,0,Canvasback Breeding male,class_name_only,Breeding male,17,2,needs_normalization|shared_variant_descriptor
324,16,Redhead (Breeding male),Redhead,0,Redhead Breeding male,class_name_only,Breeding male,9,4,needs_normalization|shared_variant_descriptor
325,17,Ring-necked Duck (Breeding male),Ring-necked Duck,0,Ring-necked Duck Breeding male,class_name_only,Breeding male,13,5,needs_normalization|shared_variant_descriptor
326,18,Greater Scaup (Breeding male),Greater Scaup,0,Greater Scaup Breeding male,class_name_only,Breeding male,11,4,needs_normalization|shared_variant_descriptor
327,19,Lesser Scaup (Breeding male),Lesser Scaup,0,Lesser Scaup Breeding male,class_name_only,Breeding male,12,5,needs_normalization|shared_variant_descriptor
328,20,Harlequin Duck (Male),Harlequin Duck,0,Harlequin Duck Male,class_name_only,Male,13,4,needs_normalization|shared_variant_descriptor
329,21,Surf Scoter (Male),Surf Scoter,0,Surf Scoter Male,class_name_only,Male,11,5,needs_normalization|shared_variant_descriptor
330,22,White-winged Scoter (Male),White-winged Scoter,0,White-winged Scoter Male,class_name_only,Male,12,5,needs_normalization|shared_variant_descriptor
331,23,Black Scoter (Male),Black Scoter,0,Black Scoter Male,class_name_only,Male,9,3,needs_normalization|shared_variant_descriptor
332,24,Bufflehead (Breeding male),Bufflehead,0,Bufflehead Breeding male,class_name_only,Breeding male,9,3,needs_normalization|shared_variant_descriptor
333,25,Common Goldeneye (Breeding male),Common Goldeneye,0,Common Goldeneye Breeding male,class_name_only,Breeding male,15,3,needs_normalization|shared_variant_descriptor
334,26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,0,Barrow's Goldeneye Breeding male,class_name_only,Breeding male,5,3,needs_normalization|shared_variant_descriptor
335,27,Hooded Merganser (Breeding male),Hooded Merganser,0,Hooded Merganser Breeding male,class_name_only,Breeding male,7,5,needs_normalization|shared_variant_descriptor
336,28,Common Merganser (Breeding male),Common Merganser,0,Common Merganser Breeding male,class_name_only,Breeding male,9,2,needs_normalization|shared_variant_descriptor
