raw_class_id,target,class_name,class_family,prompt_id,prompt,prompt_set,variant_label,descriptor_count,clean_descriptor_count,descriptor_quality
295,0,Common Eider (Adult male),Common Eider,0,Common Eider Adult male,short_variant,Adult male,10,5,needs_normalization|shared_variant_descriptor
295,0,Common Eider (Adult male),Common Eider,1,a photo of an adult male Common Eider.,short_variant,Adult male,10,5,needs_normalization|shared_variant_descriptor
295,0,Common Eider (Adult male),Common Eider,2,a field guide photo of an adult male Common Eider.,short_variant,Adult male,10,5,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,0,Long-tailed Duck Winter male,short_variant,Winter male,15,4,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,1,a photo of a winter male Long-tailed Duck.,short_variant,Winter male,15,4,needs_normalization|shared_variant_descriptor
296,1,Long-tailed Duck (Winter male),Long-tailed Duck,2,a field guide photo of a winter male Long-tailed Duck.,short_variant,Winter male,15,4,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,0,Ruddy Duck Breeding male,short_variant,Breeding male,11,5,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,1,a photo of a breeding male Ruddy Duck.,short_variant,Breeding male,11,5,needs_normalization|shared_variant_descriptor
297,2,Ruddy Duck (Breeding male),Ruddy Duck,2,a field guide photo of a breeding male Ruddy Duck.,short_variant,Breeding male,11,5,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,0,Swainson's Hawk Dark morph,short_variant,Dark morph,10,4,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,1,a photo of a dark morph Swainson's Hawk.,short_variant,Dark morph,10,4,needs_normalization|shared_variant_descriptor
298,3,Swainson's Hawk (Dark morph ),Swainson's Hawk,2,a field guide photo of a dark morph Swainson's Hawk.,short_variant,Dark morph,10,4,needs_normalization|shared_variant_descriptor
299,4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,0,Red-tailed Hawk Light morph adult,short_variant,Light morph adult,14,5,needs_normalization|shared_variant_descriptor
